"neighborhood","less_than_high_school","median_income_2009","percent_under_poverty"
"Allegheny Center",0.187,22793,0.34
"Allegheny West",0.092,45519,0.05
"Allentown",0.23,31909,0.285
"Arlington",0.149,27380,0.203
"Arlington Heights",0.181,10265,0.577
"Banksville",0.098,55181,0.058
"Bedford Dwellings",0.083,10891,0.49
"Beechview",0.11,39896,0.183
"Beltzhoover",0.193,36917,0.235
"Bloomfield",0.112,33604,0.194
"Bluff",0.141,13947,0.802
"Bon Air",0.215,40818,0.11
"Brighton Heights",0.099,43267,0.213
"Brookline",0.089,49803,0.117
"California-Kirkbride",0.089,28723,0.627
"Carrick",0.166,40943,0.148
"Central Business District",0.109,40848,0.288
"Central Lawrenceville",0.167,34679,0.219
"Central Northside",0.119,35974,0.246
"Central Oakland",0.236,18222,0.648
"Chartiers City",0.158,43736,0.053
"Chateau",NA,0,1
"Crafton Heights",0.175,42824,0.164
"Crawford-Roberts",0.276,16276,0.482
"Duquesne Heights",0.085,48134,0.143
"East Allegheny",0.174,30707,0.222
"East Carnegie",0.098,44418,0.125
"East Hills",0.114,23607,0.415
"East Liberty",0.154,25024,0.331
"Elliott",0.232,28386,0.196
"Esplen",0.345,14844,0.607
"Fairywood",0.146,37537,0.375
"Fineview",0.16,32311,0.334
"Friendship",0.045,24097,0.209
"Garfield",0.19,22821,0.445
"Glen Hazel",0.41,13988,0.38
"Greenfield",0.071,47502,0.092
"Hays",0.567,32518,0.295
"Hazelwood",0.162,33863,0.259
"Highland Park",0.066,66985,0.092
"Homewood North",0.158,23062,0.557
"Homewood South",0.231,22007,0.319
"Homewood West",0.268,15721,0.368
"Knoxville",0.221,30403,0.286
"Larimer",0.171,29064,0.216
"Lincoln Place",0.103,44895,0.036
"Lincoln-Lemington-Belmar",0.154,32225,0.304
"Lower Lawrenceville",0.171,24319,0.387
"Manchester",0.129,35336,0.189
"Marshall-Shadeland",0.247,35543,0.282
"Middle Hill",0.099,25023,0.264
"Morningside",0.15,45224,0.052
"Mount Washington",0.109,47219,0.202
"Mt. Oliver",0.225,41970,0.364
"New Homestead",0.101,90652,0.085
"North Oakland",0.043,54504,0.392
"North Shore",0.056,90089,0
"Northview Heights",0.249,14097,0.581
"Oakwood",0.161,37436,0.124
"Overbrook",0.066,46046,0.117
"Perry North",0.114,50412,0.145
"Perry South",0.154,32478,0.37
"Point Breeze",0.05,95704,0.046
"Point Breeze North",0.068,38195,0.2
"Polish Hill",0.159,33759,0.074
"Regent Square",0.04,84635,0.011
"Ridgemont",0.097,61313,0.084
"Shadyside",0.042,49393,0.193
"Sheraden",0.189,33860,0.266
"South Oakland",0.124,28696,0.377
"South Shore",0,163773,0
"South Side Flats",0.097,44215,0.205
"South Side Slopes",0.201,41359,0.198
"Spring Garden",0.237,41876,0.138
"Spring Hill-City View",0.193,23844,0.337
"Squirrel Hill North",0.018,91409,0.088
"Squirrel Hill South",0.048,59376,0.117
"St. Clair",0.189,30851,0.439
"Stanton Heights",0.1,53354,0.042
"Strip District",0.084,70706,0.021
"Summer Hill",0.038,42547,0.079
"Swisshelm Park",0.086,79025,0.021
"Terrace Village",0.261,11834,0.462
"Troy Hill",0.12,40392,0.223
"Upper Hill",0.102,34880,0.234
"Upper Lawrenceville",0.162,34639,0.257
"West End",0.128,44963,0
"West Oakland",0.12,22849,0.466
"Westwood",0.107,54366,0.058
"Windgap",0.101,44670,0.054
